Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Leichter Schlaf – Dauer (ms),Tiefer Schlaf – Dauer (ms),Wachphase beim Schlafen – Dauer (ms)
2015-03-03,,171970.59375,,,,46.94715881347656,7.434864521026611,47.306602478027344,7.941369533538818,,,,5607,,,,,77606652,3209165,,,,
2015-03-04,,176888.203125,,,,46.946922302246094,7.434807777404785,47.31280517578125,7.924877166748047,,,,5876,,,,,78490675,2851755,92521,,,
2015-03-05,,393504.53125,,,,46.947261810302734,7.434774398803711,47.31280517578125,7.9308366775512695,,,,5623,,,,,75566295,2471000,,,,
2015-03-06,,675157.5625,,,,46.94723129272461,7.434844017028809,47.4814567565918,8.209755897521973,,,,6356,,,,,76667536,2109337,184191,,,
2015-03-07,,90930.2578125,,,,47.26456832885742,7.820603370666504,47.312801361083984,7.9248785972595215,,,,1819,,,,,82450777,518789,,,,
2015-03-08,,2914.563232421875,,,,47.30426788330078,7.878664493560791,47.30515670776367,7.881243705749512,,,,418,,,,,86182128,,,,,
2015-03-09,,945074.1875,,,,46.94729232788086,7.434869766235352,47.31280517578125,7.924833297729492,,,,3875,,,,,78909391,1703730,134336,,,
2015-03-10,,305371.15625,,,,46.947208404541016,7.4348602294921875,47.306419372558594,7.941363334655762,,,,6883,,,,,76223302,2925415,,,,
2015-03-11,,126312.8671875,,,,46.94721984863281,7.434874534606934,47.31087112426758,7.880590438842773,,,,5445,,,,,79063948,2670774,,,,
2015-03-12,,753.0,,,,46.94728469848633,7.434854030609131,47.30661392211914,7.881034851074219,,,,5745,,,,,79046128,2086776,,,,
2015-03-13,,636.0,,,,46.947479248046875,7.434857368469238,47.3420524597168,7.942389488220215,,,,5283,,,,,73584027,2538712,,,,
2015-03-14,,2130.0,,,,47.04964828491211,7.871110439300537,47.31547927856445,8.311091423034668,,,,8133,,,,,62904464,4020528,,,,
2015-03-15,,,,,,47.30423355102539,7.878320217132568,47.30499267578125,7.880820274353027,,,,644,,,,,60435310,,,,,
2015-03-16,,,,,,47.30421829223633,7.877254009246826,47.305145263671875,7.881093502044678,,,,934,,,,,86298582,,,,,
2015-03-17,,1315.0,,,,46.94719314575195,7.434850692749023,47.310543060302734,7.880855083465576,,,,6024,,,,,78345453,2638951,,,,
2015-03-18,,1234.0,,,,46.94727325439453,7.434826850891113,47.30662536621094,7.881007194519043,,,,3820,,,,,79481254,1868424,,,,
2015-03-19,,895.0,,,,46.94715881347656,7.434842109680176,47.306453704833984,7.881222248077393,,,,5302,,,,,79299638,2881976,,,,
2015-03-20,,1237.0,,,,46.94715118408203,7.4348368644714355,47.30660629272461,7.880950450897217,,,,6228,,,,,78248243,2890901,,,,
2015-03-21,,346.0,,,,47.287269592285156,7.706175804138184,47.3115119934082,7.941814422607422,,,,3609,,,,,77856403,1470237,,,,
2015-03-22,,,,,,47.30430603027344,7.8796186447143555,47.304649353027344,7.880286693572998,,,,,,,,,86400000,,,,,
2015-03-23,,1181.0,,,,46.94728088378906,7.434873580932617,47.30660629272461,7.88068962097168,,,,5160,,,,,79355493,1593709,222052,,,
2015-03-24,,1920.0,,,,46.94730758666992,7.434831619262695,47.35189437866211,7.941371440887451,,,,8308,,,,,75341106,3157381,96649,,,
2015-03-25,,1024.0,,,,46.947288513183594,7.4348626136779785,47.30660629272461,7.880251407623291,,,,4106,,,,,77768637,2199567,121162,,,
2015-03-26,,1341.0,,,,46.94723892211914,7.4348464012146,47.31997299194336,7.923649311065674,,,,4307,,,,,77317306,2088099,,,,
2015-03-27,,1118.0,,,,46.94725036621094,7.434823513031006,47.48527145385742,8.173476219177246,,,,7928,,,,,71951149,3215598,129309,,,
2015-03-28,,882.0,,,,47.39858627319336,8.049393653869629,47.48880386352539,8.308713912963867,,,,2983,,,,,78530923,889898,,,,
2015-03-29,,,,,,47.30427932739258,7.877128601074219,47.479652404785156,8.197490692138672,,,,620,,,,,68055527,116595,,,,
2015-03-30,,897.0,,,,46.94717788696289,7.4348673820495605,47.306461334228516,7.880216121673584,,,,5011,,,,,74970755,2355847,,,,
2015-03-31,,,,,,47.30427932739258,7.877773761749268,47.304595947265625,7.880363941192627,,,,248,,,,,86366932,33068,,,,
2015-04-01,,1567.0,,,,46.94728088378906,7.434700965881348,47.30647659301758,7.8805975914001465,,,,6267,,,,,78352929,2491446,90926,,,
2015-04-02,,1057.0,,,,46.946292877197266,7.434844493865967,47.306427001953125,7.880603790283203,,,,5881,,,,,77675236,2916082,,,,
