geneid,sample,mean
113,0.0,8.045946428571428
114,0.0,4.65745375
115,0.0,3.3595091071428573
116,0.0,2.9595632142857142
117,0.0,4.287454464285714
118,0.0,4.316344464285715
119,0.0,3.0750448214285715
120,0.0,3.8714291071428573
121,0.0,5.6330237499999996
122,0.0,2.6912651785714288
123,0.0,3.359270892857143
124,0.0,3.4894394642857143
125,0.0,3.7874057142857143
126,0.0,3.457665535714286
127,0.0,3.802200892857143
128,0.0,3.18819375
129,0.0,8.241931964285714
130,0.0,3.7127267857142856
131,0.0,8.081666607142857
132,0.0,2.9947646428571426
133,0.0,3.287810892857143
134,0.0,4.0155328571428575
135,0.0,3.4699276785714286
136,0.0,3.061795357142857
137,0.0,2.738915535714286
138,0.0,6.470401071428571
139,0.0,2.763825
140,0.0,3.66949125
141,0.0,3.3146810714285713
142,0.0,5.25746625
143,0.0,4.8700725
144,0.0,3.8766108928571428
145,0.0,3.683966607142857
146,0.0,3.7650921428571427
147,0.0,3.28014875
148,0.0,4.433878392857143
149,0.0,3.083706607142857
150,0.0,3.1090889285714285
151,0.0,3.85838625
152,0.0,4.2634678571428575
153,0.0,3.2481135714285716
154,0.0,3.7724989285714288
155,0.0,7.2657678571428574
156,0.0,3.3170964285714284
157,0.0,3.6006178571428573
158,0.0,4.999503035714286
159,0.0,3.1411905357142857
160,0.0,5.14069875
161,0.0,6.728605714285714
162,0.0,4.0835623214285715
163,0.0,3.4227135714285715
164,0.0,4.745813035714286
165,0.0,3.7998632142857143
166,0.0,4.706036785714286
167,0.0,4.2093155357142855
168,0.0,3.216038392857143
169,0.0,3.2028217857142858
170,0.0,2.9986126785714284
171,0.0,2.7997160714285716
172,0.0,3.4504119642857143
173,0.0,3.7297675
174,0.0,3.2460748214285715
175,0.0,3.4620998214285716
176,0.0,3.0839201785714287
177,0.0,5.142012678571429
178,0.0,9.475781428571429
179,0.0,3.864020892857143
180,0.0,2.950111785714286
181,0.0,2.760440714285714
182,0.0,2.960974285714286
183,0.0,3.9584917857142856
184,0.0,4.344423571428571
185,0.0,3.3778819642857143
186,0.0,3.406285
187,0.0,3.1029123214285717
188,0.0,3.163992857142857
189,0.0,6.6969125
190,0.0,3.3349566071428574
191,0.0,3.0335648214285715
192,0.0,7.947691964285714
193,0.0,8.91141107142857
194,0.0,6.675917857142857
195,0.0,8.915268571428571
196,0.0,7.054767857142857
197,0.0,4.760286607142858
198,0.0,4.749354107142857
199,0.0,8.709578928571428
200,0.0,6.145158035714286
201,0.0,3.525488392857143
202,0.0,3.9034619642857145
203,0.0,9.848287857142857
204,0.0,3.249517142857143
205,0.0,4.369773392857143
206,0.0,3.94578625
207,0.0,6.420001785714286
208,0.0,7.871642321428571
209,0.0,2.724579642857143
210,0.0,4.024586964285715
211,0.0,6.43994
212,0.0,6.4268925
213,0.0,5.524717321428572
214,0.0,5.974351785714286
215,0.0,5.897261785714286
216,0.0,3.923307857142857
217,0.0,4.707994642857143
218,0.0,3.0048889285714284
219,0.0,4.439466785714286
220,0.0,3.997419821428571
221,0.0,7.324786428571429
222,0.0,4.460236607142857
223,0.0,3.1143510714285716
224,0.0,6.609276964285715
225,0.0,4.888160357142857
226,0.0,3.7645669642857142
227,0.0,3.5212489285714286
228,0.0,2.873933035714286
229,0.0,3.1681516071428573
230,0.0,3.0247414285714287
231,0.0,3.5614323214285717
232,0.0,5.38611625
233,0.0,6.768710178571428
234,0.0,4.546420357142857
235,0.0,3.5348448214285715
236,0.0,4.544894821428572
237,0.0,4.208869642857143
238,0.0,4.0168175
239,0.0,4.294071428571429
240,0.0,6.853258214285714
241,0.0,2.77001875
242,0.0,3.1315935714285716
243,0.0,3.983882857142857
244,0.0,11.940963214285714
245,0.0,3.4342067857142857
246,0.0,6.866531785714286
247,0.0,3.4217307142857143
248,0.0,6.396919821428572
249,0.0,3.5003698214285714
250,0.0,2.9360976785714286
251,0.0,3.8423019642857144
252,0.0,4.480324821428572
253,0.0,6.0037025
254,0.0,3.01240875
255,0.0,2.8859073214285713
256,0.0,3.8505401785714284
257,0.0,3.527892142857143
258,0.0,3.960034285714286
259,0.0,2.71886625
260,0.0,6.242081428571429
261,0.0,4.519491071428572
262,0.0,3.275303035714286
263,0.0,5.219965178571429
264,0.0,5.047936964285714
265,0.0,3.8308139285714287
266,0.0,4.171256071428571
267,0.0,4.838025714285714
268,0.0,3.1233751785714285
269,0.0,3.0208860714285715
270,0.0,4.9910146428571425
271,0.0,2.8078694642857145
272,0.0,3.384633214285714
273,0.0,6.286620714285714
274,0.0,3.1500126785714286
275,0.0,4.838674107142857
276,0.0,2.820146964285714
277,0.0,3.09819625
278,0.0,4.231712678571428
279,0.0,4.595881071428572
280,0.0,2.8099042857142855
281,0.0,8.083434107142857
282,0.0,3.1885101785714287
283,0.0,3.595884107142857
284,0.0,4.089311607142857
285,0.0,2.8467694642857144
286,0.0,4.109259107142857
287,0.0,4.372941785714286
288,0.0,6.0477175
289,0.0,6.645689464285715
290,0.0,2.731695
291,0.0,3.6567325
292,0.0,3.7575285714285713
293,0.0,3.7121391071428573
294,0.0,3.2693173214285713
295,0.0,2.9571160714285716
296,0.0,7.08301
297,0.0,3.4157257142857143
298,0.0,3.060409642857143
299,0.0,3.43395
300,0.0,6.398499285714285
301,0.0,3.2795789285714285
302,0.0,3.8996978571428573
303,0.0,4.126226428571429
304,0.0,3.3928364285714285
305,0.0,3.3971839285714287
306,0.0,3.08012
307,0.0,4.071208035714286
308,0.0,3.6375682142857144
309,0.0,2.9072969642857145
310,0.0,4.000373214285714
311,0.0,4.281962678571428
312,0.0,3.391360357142857
313,0.0,3.908243214285714
314,0.0,4.3387014285714285
315,0.0,2.6433248214285716
316,0.0,3.7452317857142856
317,0.0,3.549749642857143
318,0.0,3.2551217857142856
319,0.0,3.3416530357142857
